,precision,recall,f1-score,support
alegria,0.5752212389380531,0.9027777777777778,0.7027027027027027,144.0
ira,0.6081871345029239,0.7272727272727273,0.6624203821656051,143.0
tristeza,0.7197452229299363,0.7847222222222222,0.7508305647840532,144.0
miedo,0.7205882352941176,0.3402777777777778,0.46226415094339623,144.0
neutro,0.9375,0.6293706293706294,0.7531380753138075,143.0
accuracy,0.6768802228412256,0.6768802228412256,0.6768802228412256,0.6768802228412256
macro avg,0.7122483663330061,0.6768842268842269,0.6662711751819129,718.0
weighted avg,0.712079577472509,0.6768802228412256,0.6661555538628103,718.0
