,precision,recall,f1-score,support
alegria,0.4084084084084084,0.9444444444444444,0.570230607966457,144.0
ira,0.22,0.07692307692307693,0.11398963730569948,143.0
tristeza,0.7058823529411765,0.4166666666666667,0.5240174672489083,144.0
miedo,0.0,0.0,0.0,144.0
neutro,0.488,0.8531468531468531,0.6208651399491094,143.0
accuracy,0.4582172701949861,0.4582172701949861,0.4582172701949861,0.4582172701949861
macro avg,0.36445815226991696,0.45823620823620825,0.3658205704940348,718.0
weighted avg,0.36448728361328725,0.4582172701949861,0.3658160946775074,718.0
