,precision,recall,f1-score,support
alegria,0.6464646464646465,0.8888888888888888,0.7485380116959064,144.0
ira,0.78125,0.6993006993006993,0.7380073800738007,143.0
tristeza,0.6857142857142857,0.8333333333333334,0.7523510971786834,144.0
miedo,0.8382352941176471,0.3958333333333333,0.5377358490566038,144.0
neutro,0.8791946308724832,0.916083916083916,0.8972602739726028,143.0
accuracy,0.7465181058495822,0.7465181058495822,0.7465181058495822,0.7465181058495822
macro avg,0.7661717714338125,0.7466880341880342,0.7347785223955194,718.0
weighted avg,0.7659933576622179,0.7465181058495822,0.7345477276751081,718.0
