,precision,recall,f1-score,support
alegria,0.8120805369127517,0.8402777777777778,0.825938566552901,144.0
ira,0.8074534161490683,0.9090909090909091,0.8552631578947368,143.0
tristeza,0.7612903225806451,0.8194444444444444,0.7892976588628763,144.0
miedo,0.7830188679245284,0.5763888888888888,0.664,144.0
neutro,0.9115646258503401,0.9370629370629371,0.9241379310344827,143.0
accuracy,0.8161559888579387,0.8161559888579387,0.8161559888579387,0.8161559888579387
macro avg,0.8150815538834667,0.8164529914529914,0.8117274628689994,718.0
weighted avg,0.8149578004931709,0.8161559888579387,0.8115102676556412,718.0
