,precision,recall,f1-score,support
alegria,0.7100591715976331,0.8333333333333334,0.7667731629392971,144.0
ira,0.649746192893401,0.8951048951048951,0.7529411764705882,143.0
tristeza,0.7530864197530864,0.8472222222222222,0.7973856209150327,144.0
miedo,0.868421052631579,0.4583333333333333,0.6,144.0
neutro,0.9122807017543859,0.7272727272727273,0.8093385214007782,143.0
accuracy,0.7520891364902507,0.7520891364902507,0.7520891364902507,0.7520891364902507
macro avg,0.7787187077260171,0.7522533022533023,0.7452876963451394,718.0
weighted avg,0.778712315693711,0.7520891364902507,0.7451878296248312,718.0
